# Fix print output for fix def
"Strain,Stess in X,Stress in Y,Strees in z"	
"0.0177000000000014 , 11.2307735948105 , 11.1818362316617 , 16.3947868682138"		
"0.0178000000000014 , 11.2607959258412 , 11.2714728263284 , 16.2806477698533"		
"0.0179000000000015 , 11.3609347639043 , 11.4005796416937 , 16.5285866672414"		
"0.0180000000000015 , 11.3100111191335 , 11.2677888167704 , 16.4530941962295"		
"0.0181000000000016 , 11.3919654225301 , 11.3050507375977 , 16.6154845469599"		
"0.0182000000000014 , 11.3468211437198 , 11.3619450772733 , 16.5633454661981"		
"0.0183000000000014 , 11.405551415366 , 11.477262733551 , 16.7447231088129"		
"0.0184000000000014 , 11.5337646477396 , 11.5335919101114 , 16.7834184093503"		
"0.0185000000000015 , 11.5533943975679 , 11.5426364421874 , 16.9194716957943"		
"0.0186000000000015 , 11.7274368673359 , 11.6659259997562 , 16.9954375657338"		
"0.0187000000000015 , 11.7507175850216 , 11.7423225534586 , 16.9935125535471"		
"0.0188000000000016 , 11.7544631035315 , 11.6974983460854 , 17.1834217116411"		
"0.0189000000000014 , 11.6957923147713 , 11.6976022828754 , 17.0943483179703"		
"0.0190000000000014 , 11.7637887770967 , 11.7871244636534 , 17.1975776997219"		
"0.0191000000000015 , 11.8281576103579 , 11.8350549614583 , 17.246187516676"		
"0.0192000000000015 , 11.8275709846195 , 11.7265304170348 , 17.2617986685704"		
"0.0193000000000015 , 11.8913495297678 , 11.8703118722886 , 17.4191296941327"		
"0.0194000000000016 , 11.888693665753 , 11.9483394511207 , 17.4333774955253"		
"0.0195000000000014 , 11.9756611969713 , 12.0721558073358 , 17.6011094734549"		
"0.0196000000000014 , 11.9812087947725 , 12.0216210536893 , 17.5882945807749"		
"0.0197000000000014 , 12.0464942481624 , 12.033888905793 , 17.6381933849589"		
"0.0198000000000015 , 12.1313970145097 , 12.1625815421341 , 17.7530429070628"		
"0.0199000000000015 , 12.1702270531203 , 12.1718145134035 , 17.8290568233295"		
"0.0200000000000016 , 12.1540978779337 , 12.1606121334846 , 17.7969456547785"		
"0.0201000000000016 , 12.331225879023 , 12.2971653968584 , 17.9731590031943"		
"0.0202000000000014 , 12.330978323907 , 12.2921161500536 , 18.0934226966339"		
"0.0203000000000014 , 12.3934758396932 , 12.2915289754846 , 17.986424359019"		
"0.0204000000000015 , 12.4440043588049 , 12.4366146145038 , 18.2865282751456"		
"0.0205000000000015 , 12.4319681288525 , 12.4205810447 , 18.1943364742134"		
"0.0206000000000015 , 12.4336641376744 , 12.4790372956541 , 18.2586677945741"		
"0.0207000000000016 , 12.6160764528172 , 12.6058820882603 , 18.382958865806"		
"0.0208000000000014 , 12.5478457298142 , 12.5992972172233 , 18.4401704557513"		
"0.0209000000000014 , 12.5322183482509 , 12.5510430247142 , 18.4003671704862"		
"0.0210000000000014 , 12.5683162220008 , 12.6258025980882 , 18.5683521038728"		
"0.0211000000000015 , 12.682365569783 , 12.6918250293757 , 18.6606729822357"		
"0.0212000000000015 , 12.6946504532956 , 12.6934572038785 , 18.6005623544788"		
"0.0213000000000016 , 12.732471057684 , 12.7521631404192 , 18.6465544706796"		
"0.0214000000000014 , 12.7845206097831 , 12.8788459274754 , 18.7755840274494"		
"0.0215000000000014 , 12.8177326405712 , 12.8658469875754 , 18.8835491359318"		
"0.0216000000000014 , 13.0083209701513 , 12.9667566736136 , 19.0178144334899"		
"0.0217000000000015 , 13.0222700563687 , 13.0826734877601 , 19.0819393621292"		
"0.0218000000000015 , 12.9561316461036 , 12.9665005121904 , 19.0326644354088"		
"0.0219000000000015 , 12.9857230777117 , 13.0096126935247 , 19.0921150873564"		
"0.0220000000000016 , 13.0581421478918 , 13.0111931516393 , 19.1381554358674"		
"0.0221000000000014 , 13.1656031705413 , 13.1577046943682 , 19.2950437481502"		
"0.0222000000000014 , 13.1463644685657 , 13.1620350532123 , 19.2794021962038"		
"0.0223000000000015 , 13.249996909897 , 13.2477060633666 , 19.4065465624416"		
"0.0224000000000015 , 13.2901869184801 , 13.3197208530452 , 19.4667668548879"		
"0.0225000000000015 , 13.2810773786673 , 13.3281528514566 , 19.4308236162014"		
"0.0226000000000016 , 13.321996764768 , 13.332293209213 , 19.5540537791691"		
"0.0227000000000014 , 13.3283615070374 , 13.3549799409148 , 19.5934176579575"		
"0.0228000000000014 , 13.3548210852096 , 13.357696511423 , 19.6047418985978"		
"0.0229000000000014 , 13.4599385789684 , 13.5190912044084 , 19.7996219821542"		
"0.0230000000000015 , 13.4937386536732 , 13.4444684802606 , 19.8256050287044"		
"0.0231000000000015 , 13.4723070157414 , 13.453571692729 , 19.8746754964768"		
"0.0232000000000016 , 13.4877965439564 , 13.6140708012234 , 19.9440976448382"		
"0.0233000000000014 , 13.6177470656571 , 13.5172533668195 , 19.9270216325635"		
"0.0234000000000014 , 13.711293401139 , 13.6697381403628 , 20.0918733788289"		
"0.0235000000000014 , 13.619424188055 , 13.6375721896543 , 20.1776983535439"		
"0.0236000000000015 , 13.6737285641407 , 13.7189292744538 , 20.2170700594684"		
"0.0237000000000015 , 13.7197481622981 , 13.6573896897069 , 20.1689257982816"		
"0.0238000000000015 , 13.6919320528392 , 13.7460261144547 , 20.192196758857"		
"0.0239000000000016 , 13.9092066674673 , 13.8580539707316 , 20.3655343134507"		
"0.0240000000000014 , 13.9652240284989 , 13.9320889817649 , 20.5148426928059"		
"0.0241000000000014 , 13.8830501625542 , 13.839050337065 , 20.3714597236717"		
"0.0242000000000015 , 14.0228929845846 , 14.1220407980226 , 20.6526537059995"		
"0.0243000000000015 , 14.0165776694909 , 14.0756078545601 , 20.642072538809"		
"0.0244000000000015 , 14.1237800111342 , 14.1171807933783 , 20.7649430152597"		
"0.0245000000000016 , 14.0589701845866 , 14.1308582243987 , 20.7471096223555"		
"0.0246000000000014 , 14.1549828967389 , 14.130302168112 , 20.78622981622"		
"0.0247000000000014 , 14.0819543175275 , 14.0033205528253 , 20.7944110346151"		
"0.0248000000000014 , 14.2317208803149 , 14.242172237792 , 20.8933287731354"		
"0.0249000000000015 , 14.2209757655807 , 14.2703880871011 , 20.9483430532829"		
"0.0250000000000015 , 14.3698936638077 , 14.3335204781942 , 21.1358629976083"		
"0.0251000000000016 , 14.2241116344463 , 14.2322202811842 , 21.0090036276988"		
"0.0252000000000016 , 14.3341600980956 , 14.4284951787377 , 21.1211901365776"		
"0.0253000000000014 , 14.3853106085496 , 14.449672566356 , 21.1607686460697"		
"0.0254000000000014 , 14.4880643508302 , 14.3951625000106 , 21.2150043746322"		
"0.0255000000000015 , 14.598473922384 , 14.5430342876351 , 21.4209499770706"		
"0.0256000000000015 , 14.5584810345104 , 14.4652994869574 , 21.3992620211483"		
"0.0257000000000015 , 14.6076365449814 , 14.6486571913384 , 21.530407808435"		
"0.0258000000000016 , 14.5557795013858 , 14.5554985413777 , 21.4453397125484"		
"0.0259000000000014 , 14.6456952482866 , 14.659021147004 , 21.5148173951474"		
"0.0260000000000014 , 14.6817585104021 , 14.6556642906792 , 21.6305034064459"		
"0.0261000000000015 , 14.6378963983054 , 14.7245457962284 , 21.6580886635476"		
"0.0262000000000015 , 14.8181919557732 , 14.8330235670084 , 21.8280407243703"		
"0.0263000000000015 , 14.8735171174227 , 14.8480635709849 , 21.8523771333541"		
"0.0264000000000016 , 14.7991092292536 , 14.8290822362427 , 21.8812353052568"		
"0.0265000000000014 , 14.925821879098 , 14.9605758614468 , 22.0156293204124"		
"0.0266000000000014 , 14.9942887241765 , 15.044871349633 , 22.0910543800966"		
"0.0267000000000014 , 15.0098214477446 , 15.0082554466913 , 22.0117390498563"		
"0.0268000000000015 , 15.005681473489 , 15.042514961154 , 22.0739083642584"		
"0.0269000000000015 , 14.9540307161902 , 14.9380807166164 , 22.1575004079656"		
"0.0270000000000016 , 15.0106549686237 , 15.0843633530546 , 22.16934809304"		
"0.0271000000000016 , 15.0912835155816 , 15.080688976826 , 22.2565849660129"		
"0.0272000000000014 , 15.1102513101187 , 15.1631720101066 , 22.3344811956915"		
"0.0273000000000014 , 15.183920579241 , 15.1597664244799 , 22.3296550228999"		
"0.0274000000000015 , 15.2624699680559 , 15.2606425320631 , 22.4460949140939"		
"0.0275000000000015 , 15.2677449888355 , 15.2715497331235 , 22.5949718887369"		
"0.0276000000000015 , 15.2300854636255 , 15.2618197497023 , 22.5278737207513"		
"0.0277000000000016 , 15.3850510602957 , 15.4224106455727 , 22.6398739075941"		
"0.0278000000000014 , 15.3560298360824 , 15.31807722963 , 22.5586323558782"		
"0.0279000000000014 , 15.3600694428827 , 15.4220723197178 , 22.6950536242985"		
"0.0280000000000015 , 15.622060488738 , 15.6397013524055 , 22.9761255485557"		
"0.0281000000000015 , 15.5522199711488 , 15.5591839077587 , 22.8996936523687"		
"0.0282000000000015 , 15.5730121656453 , 15.5205259210671 , 22.9173228240995"		
"0.0283000000000016 , 15.6499321549157 , 15.6289117613736 , 23.0272489756677"		
"0.0284000000000016 , 15.652278607151 , 15.6779198655827 , 23.0740979881434"		
"0.0285000000000014 , 15.6604540441087 , 15.7329624485976 , 23.1279390237027"		
"0.0286000000000014 , 15.8241141952386 , 15.768688989194 , 23.2276190519123"		
"0.0287000000000015 , 15.743677176819 , 15.7823542690945 , 23.2838824627011"		
"0.0288000000000015 , 15.8619413101953 , 15.8892202208382 , 23.3261518405751"		
"0.0289000000000015 , 15.7681241621632 , 15.8763283242194 , 23.3387032379727"		
"0.0290000000000016 , 15.8659732430627 , 15.8642555787645 , 23.3140057036322"		
"0.0291000000000014 , 16.0683715048034 , 16.0361486892394 , 23.563595059908"		
"0.0292000000000014 , 15.8805916384567 , 15.9276988484564 , 23.4682505448923"		
"0.0293000000000015 , 15.9618479788932 , 16.0061617653212 , 23.5197910558171"		
"0.0294000000000015 , 16.1014813257266 , 16.0728595948206 , 23.6716321996067"		
"0.0295000000000015 , 16.1361645339235 , 16.0898704517729 , 23.7445031586712"		
"0.0296000000000016 , 16.0183527940533 , 15.9970091230093 , 23.6478203228178"		
"0.0297000000000014 , 16.1867633074599 , 16.2030132678278 , 23.7631014500706"		
